airport_icao,le_ident,he_ident,length_ft,length_m,width_ft,width_m,surface,lighted,closed,le_latitude,le_longitude,le_elevation_ft,le_heading_deg,le_displaced_threshold_ft,le_displaced_threshold_m,he_latitude,he_longitude,he_elevation_ft,he_heading_deg,he_displaced_threshold_ft,he_displaced_threshold_m,centerline_bearing_deg
KADH,13,31,2717,828.1,50,15.2,asphalt,false,false,34.8064995,-96.6735001,1004,135,0,0,34.800499,-96.6661987,979,315,0,0,135
KADH,18,36,6203,1890.7,100,30.5,asphalt,true,false,34.813301,-96.671997,1016,180,0,0,34.7962,-96.671997,979,360,100,30.5,180
KADM,04,22,6761,2060.8,150,45.7,concrete,false,true,34.2933006,-97.0233994,725,46,0,0,34.3063011,-97.0074997,738,226,0,0,45.3
KADM,08,26,7225,2202.2,150,45.7,concrete,false,true,34.3059998,-97.023201,,85,0,0,34.3078003,-96.9993973,,265,0,0,84.8
KADM,13,31,9002,2743.8,150,45.7,concrete,true,false,34.3112984,-97.0251007,762,135,0,0,34.2971001,-97.0083008,729,315,0,0,135.6
KADM,17,35,5404,1647.1,100,30.5,asphalt,false,false,34.3087997,-97.0234985,753,180.4,0,0,34.2949982,-97.0235977,725,0.4,0,0,180.3
KADS,16,34,7203,2195.5,100,30.5,asphalt,true,false,32.977798,-96.8405,633,160,979,298.4,32.959301,-96.832397,639,340,0,0,159.8
KADT,04,22,2400,731.5,100,30.5,grs,false,false,39.8358,-101.042999,,41,0,0,39.840801,-101.037003,,221,0,0,42.6
KADT,17,35,5000,1524,75,22.9,asphalt,true,false,39.848202,-101.043999,2991,173,0,0,39.834599,-101.042,2926,353,0,0,173.6
KADT,17CL,35CL,5000,1524,75,22.9,grs,false,true,39.842201,-101.042999,,174,0,0,39.835602,-101.042,,354,0,0,173.4
KADU,14,32,3641,1109.8,60,18.3,concrete,true,false,41.7053986,-94.9237976,1287,148,130,39.6,41.6972008,-94.9169006,1287,328,0,0,147.9
KADW,01L,19R,11301,3444.5,200,61,concrete,true,false,38.797699,-76.8705978,254,360,0,0,38.8232994,-76.870697,273,180,0,0,359.8
KADW,01R,19L,9756,2973.6,150,45.7,paved,true,false,38.797699,-76.8636017,252,359.9,0,0,38.824501,-76.8637009,278,179.9,0,0,359.8
KAE,NW,SE,10000,3048,4000,1219.2,water,false,false,,,,,0,0,,,,,0,0,
KAEG,04,22,7398,2254.9,100,30.5,asphalt,true,false,35.1386986,-106.8089981,5837,46.2,0,0,35.1528015,-106.7910004,5810,226.2,0,0,46.2
KAEG,17,35,5983,1823.6,100,30.5,asphalt,true,false,35.1525993,-106.7890015,5806,179.9,0,0,35.1361008,-106.7890015,5799,359.9,0,0,180
KAEJ,15,33,8303,2530.8,75,22.9,asphalt,true,false,38.8250008,-106.125,7946,162.2,0,0,38.803299,-106.1159973,7899,342.2,0,0,162.1
KAEL,05,23,2898,883.3,75,22.9,asphalt,false,false,43.6791,-93.371399,1253,47,0,0,43.684502,-93.363403,1256,227,0,0,46.9
KAEL,17,35,5000,1524,100,30.5,asphalt,true,false,43.687401,-93.368896,1259,168,0,0,43.675301,-93.365402,1255,348,0,0,168.2
KAEX,14,32,9352,2850.5,150,45.7,concrete,true,false,31.3379002,-92.5591965,84,144,0,0,31.3171005,-92.5416031,89,324,0,0,144.1
KAEX,18,36,7001,2133.9,150,45.7,asphalt,true,true,31.3367004,-92.5442963,84,189,0,0,31.3176994,-92.5477982,87,9,0,0,188.9
KAFF,09,27,2493,759.9,75,22.9,asphalt,false,false,38.974998,-104.824997,6528,95,0,0,38.9744,-104.817001,6572,275,0,0,95.5
KAFF,16C,34C,4501,1371.9,75,22.9,asphalt,false,false,38.9777985,-104.8259964,6526,169.9,0,0,38.9655991,-104.822998,6505,349.9,0,0,169.2
KAFF,16L,34R,3513,1070.8,75,22.9,asphalt,false,false,38.9782982,-104.8219986,6572,170.9,0,0,38.9688988,-104.8199997,6572,350.9,0,0,170.6
KAFF,16R,34L,4500,1371.6,40,12.2,asphalt,false,false,38.9780998,-104.8270035,6572,169.9,0,0,38.9658012,-104.8239975,6572,349.9,0,0,169.2
KAFJ,09,27,5004,1525.2,100,30.5,asphalt,true,false,40.1358986,-80.2991028,1176,85,0,0,40.1371002,-80.2813034,1168,265,0,0,84.9
KAFK,05,23,2550,777.2,151,46,grs,false,false,40.6032982,-95.8714981,1162,47.7,0,0,40.6080017,-95.8647003,1162,227.7,0,0,47.7
KAFK,15,33,4501,1371.9,76,23.2,concrete,true,false,40.6123009,-95.8695984,1156,151.5,0,0,40.6015015,-95.8618011,1157,331.5,0,0,151.3
KAFN,16,34,2982,908.9,134,40.8,asphalt,true,false,42.8084984,-72.0064011,1040,148.1,0,0,42.8016014,-72.0006027,1040,328.1,582,177.4,148.3
KAFO,16,34,7025,2141.2,75,22.9,asphalt,true,false,42.7183991,-110.9420013,6188,180,0,0,42.6991005,-110.9420013,6221,360,0,0,180
